info,lat,lon,alt
536903184,39.7828,-77.3746,196
536903184,39.7828,-77.3746,196
536903184,39.7828,-77.3746,197
536903184,39.7828,-77.3746,198
536903184,39.7828,-77.3746,200
536903184,39.7828,-77.3746,203
536903296,39.7828,-77.3746,206
536903296,39.7828,-77.3745,211
536903296,39.7828,-77.3745,216
536903344,39.7828,-77.3746,221
536903296,39.7828,-77.3746,229
536903296,39.7828,-77.3746,235
536903344,39.7828,-77.3746,242
536903296,39.7828,-77.3746,252
536903296,39.7828,-77.3746,259
536903296,39.7828,-77.3745,265
536903296,39.7828,-77.3745,271
536903296,39.7828,-77.3745,276
536903296,39.7828,-77.3745,283
536903296,39.7828,-77.3745,288
536903296,39.7828,-77.3745,294
536903184,39.7829,-77.3745,299
536903184,39.7829,-77.3746,305
536903184,39.7829,-77.3746,310
536903184,39.7829,-77.3746,315
536903184,39.7829,-77.3746,319
536903296,39.7829,-77.3746,324
536903296,39.7829,-77.3746,328
536903296,39.7829,-77.3746,333
536903296,39.7829,-77.3746,338
536903296,39.7829,-77.3746,343
536903296,39.7829,-77.3746,348
536903296,39.7829,-77.3746,353
536903344,39.7829,-77.3746,358
536903344,39.7829,-77.3745,364
536903344,39.7830,-77.3745,369
536903296,39.7830,-77.3745,375
536903296,39.7830,-77.3745,379
536903344,39.7830,-77.3745,385
536903296,39.7830,-77.3745,390
536903296,39.7830,-77.3744,394
536903184,39.7831,-77.3744,399
536903184,39.7831,-77.3743,404
536903184,39.7831,-77.3743,409
536903184,39.7831,-77.3742,414
536903184,39.7831,-77.3742,420
536903184,39.7831,-77.3742,425
536903184,39.7831,-77.3741,430
536903184,39.7831,-77.3741,435
536903296,39.7831,-77.3741,440
536903344,39.7831,-77.3741,445
536903296,39.7831,-77.3741,450
536903296,39.7831,-77.3741,455
536903296,39.7831,-77.3740,460
536903296,39.7831,-77.3740,465
536903296,39.7831,-77.3740,469
536903296,39.7831,-77.3740,473
536903296,39.7831,-77.3740,478
536903344,39.7831,-77.3739,482
536903344,39.7831,-77.3739,487
536903296,39.7831,-77.3739,491
536903296,39.7831,-77.3738,497
536903296,39.7831,-77.3738,501
536903344,39.7831,-77.3737,507
536903184,39.7831,-77.3737,512
536903184,39.7832,-77.3736,517
536903184,39.7832,-77.3736,523
536903184,39.7832,-77.3735,528
536903184,39.7832,-77.3735,533
536903184,39.7832,-77.3734,538
536903296,39.7832,-77.3734,544
536903344,39.7833,-77.3734,548
536903344,39.7833,-77.3734,553
536903296,39.7833,-77.3733,558
536903296,39.7833,-77.3733,562
536903296,39.7833,-77.3733,567
536903296,39.7834,-77.3732,573
536903296,39.7834,-77.3732,578
536903296,39.7834,-77.3732,583
536903344,39.7834,-77.3731,587
536903344,39.7834,-77.3731,593
536903296,39.7834,-77.3730,599
536903296,39.7834,-77.3730,605
536903296,39.7834,-77.3730,610
536903344,39.7834,-77.3729,615
536903184,39.7834,-77.3729,619
536903184,39.7835,-77.3728,624
536903184,39.7835,-77.3728,629
536903184,39.7835,-77.3728,638
536903184,39.7835,-77.3727,643
536903184,39.7835,-77.3727,647
536903184,39.7835,-77.3727,652
536903296,39.7836,-77.3727,657
536903344,39.7836,-77.3726,662
536903296,39.7836,-77.3726,667
536903296,39.7836,-77.3726,673
536903344,39.7836,-77.3726,678
536903344,39.7836,-77.3725,683
536903296,39.7836,-77.3725,688
536903344,39.7837,-77.3725,694
536903296,39.7837,-77.3725,699
536903296,39.7837,-77.3725,704
536903344,39.7837,-77.3724,710
536903296,39.7837,-77.3724,715
536903344,39.7837,-77.3724,720
536903296,39.7837,-77.3724,724
536903184,39.7837,-77.3723,728
536903184,39.7837,-77.3723,732
536903184,39.7837,-77.3723,736
536903184,39.7837,-77.3722,740
536903184,39.7837,-77.3722,744
536903184,39.7837,-77.3722,748
536903184,39.7837,-77.3722,752
536903344,39.7837,-77.3722,757
536903296,39.7837,-77.3721,761
536903296,39.7838,-77.3721,766
536903296,39.7838,-77.3721,770
536903296,39.7838,-77.3721,775
536903296,39.7838,-77.3720,780
536903296,39.7838,-77.3720,785
536903296,39.7838,-77.3720,790
536903296,39.7838,-77.3720,794
536903296,39.7838,-77.3719,799
536903296,39.7838,-77.3719,803
536903296,39.7838,-77.3718,807
536903296,39.7838,-77.3718,812
536903344,39.7839,-77.3718,816
536903296,39.7839,-77.3717,820
536903184,39.7839,-77.3717,825
536903184,39.7839,-77.3717,830
536903184,39.7839,-77.3716,835
536903184,39.7840,-77.3716,840
536903184,39.7840,-77.3716,846
536903296,39.7840,-77.3716,851
536903296,39.7840,-77.3715,856
536903296,39.7840,-77.3715,862
536903296,39.7840,-77.3715,867
536903296,39.7840,-77.3714,873
536903296,39.7841,-77.3714,878
536903344,39.7841,-77.3714,884
536903296,39.7841,-77.3713,889
536903344,39.7841,-77.3713,895
536903296,39.7841,-77.3713,900
536903344,39.7842,-77.3712,905
536903296,39.7842,-77.3712,911
536903296,39.7842,-77.3712,916
536903344,39.7842,-77.3712,921
536903344,39.7843,-77.3711,926
536903184,39.7843,-77.3711,932
536903184,39.7843,-77.3710,937
536903184,39.7843,-77.3710,942
536903184,39.7844,-77.3710,947
536903184,39.7844,-77.3709,951
536903184,39.7844,-77.3709,956
536903184,39.7844,-77.3708,960
536903344,39.7844,-77.3708,965
536903296,39.7845,-77.3707,970
536903296,39.7845,-77.3707,975
536903344,39.7845,-77.3707,980
536903344,39.7845,-77.3706,985
536903296,39.7845,-77.3706,990
536903344,39.7845,-77.3706,995
536903296,39.7845,-77.3705,1000
536903344,39.7845,-77.3705,1005
536903296,39.7845,-77.3704,1010
536903344,39.7845,-77.3704,1015
536903296,39.7845,-77.3704,1020
536903296,39.7845,-77.3703,1024
536903296,39.7845,-77.3703,1030
536903184,39.7846,-77.3703,1035
536903184,39.7846,-77.3703,1039
536903184,39.7846,-77.3702,1044
536903184,39.7846,-77.3702,1048
536903184,39.7846,-77.3702,1053
536903184,39.7846,-77.3702,1058
536903184,39.7846,-77.3701,1068
536903296,39.7846,-77.3701,1072
536903296,39.7846,-77.3701,1077
536903344,39.7846,-77.3701,1081
536903296,39.7846,-77.3700,1086
536903344,39.7846,-77.3700,1090
536903296,39.7846,-77.3700,1095
536903296,39.7846,-77.3699,1099
536903296,39.7846,-77.3699,1104
536903296,39.7846,-77.3698,1108
536903296,39.7846,-77.3698,1113
536903296,39.7846,-77.3698,1118
536903296,39.7846,-77.3697,1123
536903296,39.7846,-77.3697,1128
536903344,39.7846,-77.3697,1134
536903344,39.7846,-77.3696,1139
536903184,39.7846,-77.3696,1144
536903184,39.7846,-77.3695,1150
536903184,39.7846,-77.3695,1156
536903184,39.7846,-77.3695,1161
536903184,39.7846,-77.3694,1166
536903296,39.7847,-77.3694,1172
536903296,39.7847,-77.3694,1177
536903344,39.7847,-77.3693,1183
536903344,39.7847,-77.3693,1188
536903296,39.7846,-77.3693,1193
536903296,39.7846,-77.3693,1199
536903296,39.7846,-77.3692,1203
536903296,39.7846,-77.3692,1208
536903344,39.7846,-77.3692,1213
536903296,39.7846,-77.3692,1219
536903296,39.7846,-77.3691,1224
536903344,39.7845,-77.3691,1229
536903344,39.7845,-77.3691,1234
536903296,39.7845,-77.3690,1238
536903184,39.7845,-77.3690,1244
536903184,39.7845,-77.3689,1249
536903184,39.7845,-77.3689,1253
536903184,39.7844,-77.3689,1258
536903184,39.7844,-77.3688,1262
536903184,39.7844,-77.3688,1267
536903184,39.7844,-77.3687,1272
536903048,39.7843,-77.3687,1277
536903048,39.7843,-77.3686,1283
536903048,39.7843,-77.3686,1288
536903048,39.7842,-77.3685,1294
536903048,39.7842,-77.3685,1299
536903048,39.7841,-77.3684,1305
536903344,39.7841,-77.3684,1310
536903296,39.7841,-77.3683,1314
536903296,39.7840,-77.3683,1319
536903296,39.7840,-77.3682,1323
536903296,39.7840,-77.3682,1327
536903296,39.7839,-77.3681,1332
536903296,39.7839,-77.3681,1336
536903296,39.7838,-77.3680,1341
536903296,39.7838,-77.3679,1345
536903184,39.7837,-77.3679,1350
536903184,39.7837,-77.3678,1354
536903184,39.7836,-77.3678,1358
536903184,39.7836,-77.3677,1362
536903184,39.7835,-77.3677,1366
536903344,39.7835,-77.3676,1371
536903344,39.7835,-77.3675,1375
536903296,39.7834,-77.3675,1380
536903296,39.7834,-77.3674,1384
536903344,39.7833,-77.3674,1389
536903296,39.7833,-77.3673,1393
536903296,39.7832,-77.3672,1398
536903344,39.7832,-77.3672,1402
536903296,39.7831,-77.3671,1406
536903296,39.7831,-77.3670,1411
536903296,39.7831,-77.3670,1415
536903344,39.7830,-77.3669,1420
536903296,39.7830,-77.3669,1424
536903296,39.7829,-77.3668,1428
536903296,39.7828,-77.3667,1438
536903184,39.7828,-77.3666,1442
536903184,39.7827,-77.3666,1447
536903184,39.7827,-77.3665,1452
536903184,39.7826,-77.3665,1458
536903184,39.7826,-77.3664,1463
536903184,39.7825,-77.3664,1468
536903184,39.7825,-77.3663,1473
536903184,39.7825,-77.3663,1479
536903344,39.7824,-77.3662,1484
536903296,39.7824,-77.3662,1490
536903296,39.7824,-77.3661,1495
536903296,39.7823,-77.3661,1501
536903296,39.7823,-77.3660,1506
536903296,39.7822,-77.3660,1512
536903296,39.7822,-77.3659,1517
536903296,39.7822,-77.3659,1523
536903344,39.7821,-77.3658,1528
536903296,39.7821,-77.3658,1534
536903296,39.7820,-77.3657,1539
536903344,39.7820,-77.3657,1545
536903296,39.7819,-77.3656,1550
536903296,39.7819,-77.3656,1556
536903344,39.7818,-77.3655,1561
536903184,39.7818,-77.3655,1566
536903184,39.7817,-77.3654,1570
536903184,39.7817,-77.3653,1575
536903184,39.7816,-77.3653,1579
536903184,39.7816,-77.3652,1584
536903184,39.7815,-77.3652,1589
536903296,39.7814,-77.3651,1593
536903296,39.7814,-77.3650,1598
536903296,39.7814,-77.3649,1602
536903344,39.7813,-77.3649,1607
536903296,39.7813,-77.3648,1612
536903296,39.7812,-77.3647,1617
536903344,39.7812,-77.3646,1621
536903296,39.7811,-77.3646,1626
536903296,39.7811,-77.3645,1630
536903344,39.7811,-77.3644,1635
536903296,39.7811,-77.3643,1640
536903296,39.7810,-77.3643,1644
536903344,39.7810,-77.3642,1649
536903296,39.7810,-77.3642,1653
536903344,39.7809,-77.3641,1658
536903184,39.7809,-77.3641,1663
536903184,39.7808,-77.3640,1667
536903184,39.7808,-77.3640,1672
536903184,39.7807,-77.3639,1676
536903184,39.7807,-77.3638,1681
536903184,39.7806,-77.3638,1686
536903296,39.7806,-77.3637,1691
536903296,39.7805,-77.3636,1696
536903296,39.7805,-77.3635,1701
536903296,39.7805,-77.3634,1706
536903344,39.7804,-77.3634,1710
536903344,39.7804,-77.3633,1715
536903296,39.7804,-77.3632,1720
536903296,39.7803,-77.3631,1725
536903296,39.7803,-77.3630,1730
536903296,39.7803,-77.3630,1734
536903344,39.7803,-77.3629,1738
536903296,39.7802,-77.3628,1743
536903296,39.7802,-77.3627,1747
536903296,39.7802,-77.3626,1751
536903296,39.7801,-77.3625,1756
536903184,39.7801,-77.3624,1760
536903184,39.7801,-77.3623,1764
536903184,39.7800,-77.3622,1769
536903184,39.7800,-77.3622,1773
536903184,39.7800,-77.3621,1778
536903184,39.7799,-77.3620,1783
536903296,39.7799,-77.3619,1788
536903296,39.7798,-77.3618,1793
536903296,39.7798,-77.3618,1798
536903344,39.7798,-77.3617,1804
536903296,39.7797,-77.3616,1809
536903296,39.7797,-77.3615,1814
536903296,39.7796,-77.3614,1820
536903296,39.7796,-77.3613,1825
536903296,39.7795,-77.3612,1831
536903296,39.7795,-77.3611,1836
536903344,39.7795,-77.3611,1842
536903344,39.7795,-77.3610,1847
536903344,39.7794,-77.3609,1852
536903296,39.7794,-77.3608,1857
536903296,39.7794,-77.3607,1861
536903184,39.7794,-77.3606,1865
536903184,39.7793,-77.3605,1874
536903184,39.7793,-77.3604,1878
536903184,39.7792,-77.3603,1882
536903184,39.7792,-77.3603,1887
536903184,39.7792,-77.3602,1892
536903184,39.7791,-77.3601,1897
536903296,39.7791,-77.3600,1902
536903296,39.7790,-77.3599,1908
536903296,39.7790,-77.3598,1913
536903296,39.7789,-77.3597,1919
536903296,39.7789,-77.3597,1924
536903296,39.7788,-77.3596,1930
536903344,39.7788,-77.3595,1935
536903344,39.7787,-77.3594,1940
536903296,39.7787,-77.3593,1945
536903296,39.7786,-77.3592,1950
536903296,39.7786,-77.3591,1954
536903296,39.7785,-77.3590,1959
536903296,39.7785,-77.3589,1963
536903296,39.7784,-77.3588,1968
536903344,39.7783,-77.3587,1972
536903184,39.7783,-77.3587,1977
536903184,39.7782,-77.3586,1982
536903184,39.7781,-77.3585,1987
536903184,39.7780,-77.3584,1992
536903184,39.7780,-77.3583,1997
536903184,39.7779,-77.3583,2003
536903184,39.7778,-77.3582,2008
536903184,39.7778,-77.3581,2013
536903296,39.7777,-77.3580,2018
536903344,39.7776,-77.3580,2023
536903344,39.7776,-77.3579,2028
536903296,39.7775,-77.3578,2034
536903344,39.7774,-77.3577,2039
536903296,39.7774,-77.3576,2045
536903296,39.7773,-77.3576,2050
536903296,39.7772,-77.3575,2056
536903344,39.7772,-77.3574,2061
536903296,39.7771,-77.3573,2066
536903296,39.7770,-77.3572,2072
536903296,39.7770,-77.3572,2077
536903344,39.7769,-77.3571,2082
536903344,39.7768,-77.3570,2087
536903296,39.7767,-77.3569,2092
536903184,39.7766,-77.3568,2096
536903184,39.7766,-77.3567,2101
536903184,39.7765,-77.3567,2105
536903184,39.7764,-77.3566,2109
536903184,39.7763,-77.3565,2114
536903184,39.7762,-77.3564,2118
536903344,39.7762,-77.3563,2123
536903296,39.7761,-77.3563,2127
536903296,39.7760,-77.3562,2132
536903296,39.7759,-77.3561,2136
536903296,39.7759,-77.3560,2141
536903296,39.7758,-77.3559,2145
536903344,39.7758,-77.3558,2150
536903296,39.7757,-77.3558,2155
536903296,39.7756,-77.3557,2160
536903296,39.7756,-77.3556,2165
536903296,39.7755,-77.3555,2171
536903296,39.7755,-77.3555,2176
536903344,39.7754,-77.3554,2181
536903296,39.7754,-77.3553,2187
536903296,39.7753,-77.3553,2192
536903184,39.7753,-77.3552,2197
536903184,39.7752,-77.3551,2203
536903184,39.7752,-77.3551,2208
536903184,39.7751,-77.3550,2214
536903184,39.7751,-77.3549,2219
536903184,39.7750,-77.3549,2225
536903184,39.7750,-77.3548,2230
536903344,39.7749,-77.3547,2236
536903296,39.7748,-77.3547,2242
536903296,39.7748,-77.3546,2247
536903344,39.7747,-77.3546,2253
536903296,39.7747,-77.3545,2258
536903296,39.7746,-77.3544,2264
536903296,39.7746,-77.3544,2269
536903344,39.7745,-77.3543,2274
536903296,39.7745,-77.3543,2279
